Stock Symbols,Variance,Returns,Cluster_labels,Stock Trend
ITC.NS,0.06598286781119715,-0.5653023429547233,3,Moderate Bearish
SBIN.NS,0.060226656268068605,-0.2992953579422541,3,Moderate Bearish
HINDUNILVR.NS,0.03783607352536286,-0.3660637157240578,3,Moderate Bearish
AXISBANK.NS,0.03593546789933976,-0.5393895205352268,3,Moderate Bearish
ONGC.NS,0.08087358994845223,-0.34835682231116516,3,Moderate Bearish
INDUSINDBK.NS,0.04810756798099872,-0.5093473193917583,3,Moderate Bearish
JSWSTEEL.NS,0.06382876282010055,-0.3914745359204336,3,Moderate Bearish
TATAMOTORS.NS,0.06630825279306199,-0.4536964849722218,3,Moderate Bearish
BAJAJ-AUTO.NS,0.05925896062196084,-0.6303779808333096,3,Moderate Bearish
CIPLA.NS,0.041788705979729605,-0.24129151704154622,3,Moderate Bearish
TATASTEEL.NS,0.054912269150770625,-0.7033845429487237,3,Moderate Bearish
GRASIM.NS,0.06652452934121598,-0.5087972738721264,3,Moderate Bearish
BOSCHLTD.NS,0.04693881161267107,-0.26886439659153344,3,Moderate Bearish
TATACONSUM.NS,0.051867371336547924,-0.31804837140151143,3,Moderate Bearish
NESTLEIND.NS,0.02715977655137087,-0.24189894647296736,3,Moderate Bearish
HDFCAMC.NS,0.06834591446997089,-0.26968521638241266,3,Moderate Bearish
TATAELXSI.NS,0.09964690400997621,-0.48646731415428646,3,Moderate Bearish
